KCAT	Sus scrofa	0.0000019	N-hydroxy-benzenecarboximidamide	*at 37&deg;C
KCAT	Rattus norvegicus	0.35	stearoyl-CoA	*25&deg;C
KCAT	Rattus norvegicus	0.35	stearoyl-CoA	*fatty acyl-CoA substrates with chain length of 14-19 carbon atoms show similar turnover number of about 22
KCAT	Spinacia oleracea	0.5	stearoyl-acyl-carrier protein	*
KM	Fusarium oxysporum	0.038	NADPH	*
KM	Mycolicibacterium phlei	0.8	NADPH	*
KM	Bos taurus	0.003	NADH	*
KM	Fusarium oxysporum	0.089	NADH	*
KM	Mycolicibacterium phlei	0.001	FAD	*
KM	Mycolicibacterium phlei	0.0025	FMN	*
KM	Sus scrofa	0.0033	stearoyl-CoA	*
KM	Rattus norvegicus	0.0105	stearoyl-CoA	*in 150 mM KCl, 40 mM NaF, 100 mM sodium phosphate buffer, pH 7.4, at 37&Acirc;&deg;C
KM	Bos taurus	0.025	stearoyl-CoA	*
KM	Plasmodium falciparum	0.0566	stearoyl-CoA	*in 0.1 M potassium phosphate buffer pH 7.2, at 37&Acirc;&deg;C
KM	Rattus norvegicus	-999	more	*substrates with 14-19 carbon fatty acyl chains show similar Km values of 0.0045-0.005 mM
MW	Mus musculus	-999	*	*SCD protein undetectable in 24 microg/day leptin-treated ob/ob mice with or without exogenous insulin treatment
MW	Rattus norvegicus	26500	*	*gel filtration
MW	Rattus norvegicus	27000	*	*1 * 27000, SDS-PAGE
MW	Cyprinus carpio	33000	*	*
MW	Gallus gallus	33600	*	*x * 33600, SDS-PAGE
MW	Gallus gallus	33600	*	*x * 33600, SDS-PAGE
MW	Cyprinus carpio	33650	*	*x * 33650, calculated
MW	Cyprinus carpio	33800	*	*x * 33800 for cold treated carp, SDS-PAGE
MW	Helianthus annuus	35000	*	*x * 35000, SDS-PAGE
MW	Homo sapiens	37000	*	*Western Blot using an antibody against SCD1
MW	Mus musculus	37000	*	*SDS-PAGE
MW	Rattus norvegicus	37000	*	*SDS-PAGE
MW	Spinacia oleracea	40000	*	*homodimer, 2 * 40000
MW	Mesocricetus auratus	40000	*	*x * 40000, recombinant enzyme, SDS-PAGE
MW	Mus musculus	41000	*	*Myc or HA epitope tagged proteins expressed in HeLa cells, immunoblot using anti-Myc and ant-HA antibodies
MW	Sus scrofa	41000	*	*SDS-PAGE
MW	Pseudoalteromonas sp.	43400	*	*calculated from amino acid sequence
MW	Picea glauca	43700	*	*x * 43700, calculated
MW	Rattus norvegicus	53000	*	*x * 53000, disc-gel electrophoresis
MW	Rattus norvegicus	53000	*	*x * 53000
MW	Rattus norvegicus	55000	*	*x * 55000
MW	Homo sapiens	58000	*	*hSCD1 fused to GFP, immunoblot with anti-GFP antibody; hSCD 5 fused to GFP, immunoblot with anti-GFP antibody
