KCAT	Marinobacter hydrocarbonoclasticus	4794	hexadecanol	*pH 7.4, 37&Acirc;&deg;C, isozyme WS2
KM	Marinobacter hydrocarbonoclasticus	-999	more	*kinetics of isozymes WS1 and WS2
KM	Acinetobacter baylyi ADP1	0.0156	palmitoyl-CoA	*pH 7.4, 35&deg;C
KM	Acinetobacter baylyi ADP1	0.029	palmitoyl-CoA	*pH 7.4, 35&deg;C
KM	Marinobacter hydrocarbonoclasticus	0.044	hexadecanol	*pH 7.4, 37&deg;C, isozyme WS2
KM	Marinobacter hydrocarbonoclasticus	2.4	hexan-1-ol	*wild-type, temperature not specified in the publication, pH not specified in the publication
KM	Marinobacter hydrocarbonoclasticus	5.6	isoamyl alcohol	*wild-type, temperature not specified in the publication, pH not specified in the publication
MW	Simmondsia chinensis	-999	*	*amino acid sequence analysis and alignment
MW	Simmondsia chinensis	30000	*	*x * 30000, SDS-PAGE
MW	Mus musculus	37573	*	*x * 37573, AWAT1, sequence calculation
MW	Homo sapiens	37759	*	*x * 37759, AWAT1, sequence calculation
MW	Homo sapiens	38094	*	*x * 38094, AWAT2, sequence calculation
MW	Mus musculus	38145	*	*x * 38145, AWAT2, sequence calculation
MW	Monodelphis domestica	38536	*	*x * 38599, AWAT1, sequence calculation, x * 38536, AWAT2, sequence calculation
MW	Monodelphis domestica	38599	*	*x * 38599, AWAT1, sequence calculation, x * 38536, AWAT2, sequence calculation
MW	Simmondsia chinensis	40000	*	*gel filtration
MW	Euglena gracilis	41200	*	*x * 41200, calculated
MW	Acinetobacter baylyi ADP1	51800	*	*x * 51800, deduced from gene sequence
MW	Acinetobacter baylyi ADP1	51800	*	*x * 51800, calculated from sequence
MW	Acinetobacter baylyi ADP1	53000	*	*2 * 53000, SDS-PAGE
MW	Acinetobacter baylyi ADP1	94100	*	*gel filtration
PATH	*	cuticular wax biosynthesis	*	*
PATH	*	Cutin, suberine and wax biosynthesis	*	*
PATH	*	long chain fatty acid ester synthesis (engineered)	*	*
PATH	*	wax esters biosynthesis I	*	*
PATH	*	wax esters biosynthesis II	*	*
SA	Alcanivorax borkumensis	-999	*	*fatty acid content and fatty acid composition of Alcanivorax borkumensis strains and fatty acid composition of purified lipids isolated from strain SK2, overview
SA	Homo sapiens	-999	*	*substrate specificity, overview; substrate specificity, overview
SA	Mus musculus	-999	*	*
SA	Acinetobacter baylyi	0.00000005	*	*recombinant mutant H133L
SA	Acinetobacter baylyi	0.0000005	*	*recombinant mutant H132L
SA	Acinetobacter baylyi	0.0000414	*	*recombinant mutant D137A
SA	Acinetobacter baylyi	0.0000464	*	*recombinant wild-type enzyme
SA	Acinetobacter baylyi	0.0000517	*	*recombinant mutant G138A
SA	Acinetobacter baylyi	0.08	*	*substrate hexadecanol, pH 7.0, 22&deg;C
SA	Psychrobacter cryohalolentis	0.08	*	*substrate hexadecanol, pH 7.0, 22&deg;C
SA	Rhodococcus jostii	0.12	*	*substrate hexadecanol, pH 7.0, 22&deg;C
SA	Acinetobacter sp.	0.165	*	*purified recombinant His-tagged enzyme
SA	Acinetobacter baylyi ADP1	0.1652	*	*35&deg;C, pH 7.4
SA	Acinetobacter baylyi ADP1	0.2128	*	*pH 7.4, 35&deg;C
SA	Marinobacter hydrocarbonoclasticus	0.24	*	*substrate hexadecanol, isoform Ma2, pH 7.0, 22&deg;C
SA	Acinetobacter baylyi	0.275	*	*purified His-tagged recombinant enzyme, with palmitoyl-CoA
SA	Marinobacter hydrocarbonoclasticus	0.68	*	*substrate hexadecanol, isoform Ma1, pH 7.0, 22&deg;C
